1 , RAINTREE MALL , Between BOS Coffee and Holiday Plaza Hotel , 032-2554354 , SHOP 101 RAINTREE MALL F. RAMOS ST.  CEBU CITY
2 , MANDAUE , Fronting PS Bank near Maguikay Flyover , 032-2385744 , ROYAL GOLD PLAZA BLDG.  , AC CORTES AVE. BRGY. GUISO MANDAUE CITY CEBU
3 , COLON   , Fronting Colonade Cinema and Jollibee , 032-2536719 , COLON ST. COR. LEGASPI ST. BRGY. STO. NINO COLON CEBU
4 , OSMEÑA LAPU LAPU , Near National Shrine  ,  032-2623052 , VAÑO BLDG. OSMENA ST. GUN-OB LAPU LAPU CITY
5 , DELA SERNA  LAPU LAPU , Infront of Cebuana Lhullier  , 032-2728131 , IGOT BLDG GY DELA SERNA ST POBLACION LAPU LAPU CITY
6 , PELAEZ , Infront of San Carlos University  , 032-2558034 , G/F TUXEDO SUITES PELAEZ ST CAMAGAYAN CEBU CITY
7 , TAGBILARAN 2 , Beside Pacifica Agrivit Supply , 038-4111843 , GIN BLDG  NO. 66 BELDEROL ST COGON PUBLIC MARKETTAGBILARAN CITY BOHOL
8 , CITYMALL CONSOLACION  , Near Consolacion  Public Market , 032-3493492 , UNIT 10 STA LUCIA TOWN SQUARE CANSAGA CONCOLACION CEBU
9 , LILOAN , Beside RD Pawnshop  , 032-4243745 , POBLACION LILOAN CEBU
10 , CITY MALL DANAO , Near Gaisano Mall  ,   UNIT T-126 GF CITYMALL OLIVER SR EXTENSION COR. F. RALOTA BRGY.POBLACION DANAO CITY CEBU
11 , TABUNOK , Near Gaisano Mall , 032-2688364 , 101 LUCKY BDLG. SOUTH SUPERHIGHWAY TABUNOK TALISAY CEBU CITY
12 , MINGLANILLA , Fronting La Nueva Supermarket , 032-2685780 , RBR COMML BLDG. POBLACION  WARD 4 MINGLANILLA CEBU
13 , PUNTA PRINCESA , Fronting Tinongs Bakeshopp, Beside Palawan Pawnshop , 032-2360587 , 215 F.LLAMAS ST PUNTA PRINCESA CEBU
14 , SAN ISIDRO TABUNOK , In between South Super Hoghway and San Isidro Road , 032-5209684 , LUCKY BLDG SAN ISIDRO ROAD TABUNOK TALISAY CITY CEBU
15 , PINAMUNGAJAN  , Beside generic Pharmacy  , 032-4689289 , POBLACION PINAMUNGAJAN CEBU CITY
16 , BALAMBAN , Beside RD Pawnshop , 032 2331514 , NO. 774 STA CRUZ POBLACION BALAMBAN CEBU
17 , PUERTO PRINCESA , Beside Skylight Hotel , 048-4341093 , RLT BLDG 197 RIZALAVE.BRGY.MANGGAHAN P.PRINCESA PALAWAN
18 , PUERTO PRINCESA  2   , Beside LBC , 048-433-4890 ,  NATIONAL HIGHWAY BARANGAY SAN PEDRO DANIEL ALLEY BLDG 1  PUERTO PRINCESA PALAWAN
19 , NARRA , Beside Dungganon and Cebuana  , - , CORNER OSMENA & NARRA AVE. POBLACION NARRA PALAWAN
20 , ROXAS PALAWAN , Near Public Market and Public Terminal  , 09484388519 , SF BLDG. II ROXAS PALAWAN
21 , PALO LEYTE , Within Palo Public Market , 053-3234678 , PALO ACEBEDO ST. CAVITE EAST  PALO LEYTE
22 , CARIGARA  , Beside Chooks Chicken Store , 053-3311250 , REAL ST. BRGY POBLACION CARIGARA LEYTE
23 , BURAUEN  , Beside Julianas Cafe  , 0935-7508807/0909-2357804 , STO NINO ST POBLACION DISTRCIT 5 BURAUEN LEYTE
24 , BAYBAY  , Beside Jollibee , 053-5539099 , ZONE 9 R. MAGSAYSAY AVE. BAYBAY LEYTE
25 , ABUYOG , Near Oriental Copier and Supply , 053-334-3483 , REAL ST BRGY NALIBUNAN ABUYOG LEYTE RBOS ARGIE ARCANGELES
1 , MOLO   , Beside RD Pawnshop and Reds Restaurant , 033-3000566 , ESCOTO-NATIVIDAD BLDG.LOPEZ JAENA MOLO ILOILO
2 , OTON  , Fronting USSC near Oton Public Market , 033-5108674 , PUBLIC MARKET POBLACION JC ZULUETA ST. OTON ILOILO
3 , TIGBAUAN  , Fronting Tigbauan Plaza and Gym , 033-511-7993 , #01 TUPAZ ST TIGBAUAN ILOILO
4 , ILOILO , Beside Yamaha School of Music and Shell Gas Station , 033-5034566 , DOOR #12 JAVELOSA BLDG.LOPEZ JAENA ST.JARO ILOILO
5 , TAGBAC , Fronting Tagbac jeepney/bus terminal , 033-5099231 , GF HL BLDG. TAGBAC JARO ILOILO  CITY
6 , BAROTAC VIEJO , Beside Park andn Go Bakery   , 033-3319588 , RIZAL ST BRGY POBLACION BAROTAC VIEJO ILOILO
7 , JANIUAY  , Near Janiuay Public Market  , 033-5317297 , AQUINO NOBLEZA ST JANIUAY ILOILO
8 , LAMBUNAO , Infront of Public Market  , 033- 5337752 , POBLACION ILAYA LAMBUNAO ILOILO
9 , POTOTAN , Fronting Cebuan and Topline Supermarket , 033-5296221 , Beside Acebedo Optical and In front of Dizon Marketing    , TERESA MAGBANUA ST POTOTAN CITY ILOILO
10 , PASSI , Beside Jollibee  , 033-5368520 , SAN JUAN PASSI CITY ILOILO
11 , STA.BARBARA , Beside Cebuana  near Sta. Barbara Plaza , 033-5238238 , BARNAGGAY ZONE 1 ROOSEVELT ST. STA. BARBARA ILOILO
12 , CALINOG , Fronting Calinog Public Market , 033-3471731 , DOOR 4 IRISH BLDG. OSMEÑA ST. CALINOG ILOILO
13 , CABATUAN , Near Cabatian Public Market , 033-5229442 , RIZAL ILAYA ST BRGY ZONE IV CABATUAN ILOILO
14 , ANTIQUE , Fronting San Jose Public Plaza ,  beside Mang Inasal , 036-5407140 , SOLANA ST.COR FONNIER ST.SAN JOSE ANTIQUE
15 , MIAG AO , Fronting Miagao Catholic Church , 033-5138290 , # 1 NONATO BLDG. NOBLE ST. UBOS ILAWOD MIAGAO ILOILO
16 , 888 , Front row of Chinatown Bldg. , 034-4339419 , # 888 CHINATOWN SQUARE BACOLOD COTTAGE RD. COR GATUSLAO ST. BACOLOD CITY  -
17 , PRINCE BAYAWAN  , Near Palawan Pawnshop , 035-4300523 , POBLACION BAYAWAN CITY NEGROS ORIENTAL
18 , DUMAGUETE  , Beside Palawan Pawnshop , 035-4209694 , INDEPENDENCIA ST DUMAGUETE CITY
19 , SIQUIJOR , Beside Mercury Drug Store  , 035-4809177 , ESTRELLA BLDG POBLACION SIQUIJOR
20 , TALISAY NEGROS  , Near Talisay Public Market , 034-7127011 , COR DOÑA ENRICA ST MABINI ST  TALISAY CITY NEGROS OCC
21 , KABANKALAN  , Beside Jollibee , (034)7467330 , GUANZON ST. KABANKALAN NEGROS OCCIDENTAL
22 , BACOLOD  2 , Beside Savemore near jeepney terminal and UNO-R , (034)7041605 , LA PAZ CENTER BLDG. MABINI ST. COR. MARAGARITA AVE. BRGY. 40 BACOLOD CITY
23 , PRINCE LA CARLOTA , Inside the Prince Hypermart , 034-7351350 , PRINCE HYPERMAT BLDG YUNQUE ST BRGY II
24 , BACOLOD , Beside BDO and Novo Store , 034-4323136 , CINEPLEX BLDG.ARANETA ST. BRGY 14 BACOLOD CITY
25 , HIMAMAYLAN  , Infront of Cityhall , 034-7446178 , RIZAL ST. BRGY 2 HINIMAYLAN CITY NEGROS OCC
26 , PRINCE HINIGARAN  , Inside Prince hypermarket Mall , 034-7408418 , BURGOS ST BRGY IV HINIGARAN CITY  NEGROS OCCIDENTAL
27 , ROXAS     , Fronting St Anthony's Hosp. near Gaisano Market , 036-6211274 , BERNAS BLDG. SAN ROQUE EXT.  ROXAS CITY CAPIZ
